iter	Passed	Remaining
927	1657	128
928	1659	126
929	1661	125
930	1663	123
931	1664	121
932	1666	119
933	1668	117
934	1670	116
935	1672	114
936	1673	112
937	1675	110
938	1677	108
939	1679	107
940	1680	105
941	1682	103
942	1684	101
943	1686	100
944	1688	98
945	1690	96
946	1692	94
947	1694	92
948	1696	91
949	1697	89
950	1699	87
951	1701	85
952	1703	84
953	1705	82
954	1707	80
955	1708	78
956	1710	76
957	1712	75
958	1713	73
959	1715	71
960	1717	69
961	1719	67
962	1720	66
963	1722	64
964	1724	62
965	1725	60
966	1727	58
967	1729	57
968	1731	55
969	1733	53
970	1735	51
971	1737	50
972	1738	48
973	1740	46
974	1742	44
975	1744	42
976	1745	41
977	1747	39
978	1749	37
979	1751	35
980	1753	33
981	1754	32
982	1756	30
983	1758	28
984	1759	26
985	1761	25
986	1763	23
987	1765	21
988	1767	19
989	1768	17
990	1770	16
991	1772	14
992	1773	12
993	1775	10
994	1777	8
995	1779	7
996	1781	5
997	1782	3
998	1784	1
999	1785	0
