ownership,papan_pencatatan,ipo_raised_fund,float,price_cat,underwriter_freq_cat,underwriter_avg_aset_cat,underwriter_highest_short_rep,underwriter_highest_mid_rep,underwriter_highest_long_rep,underwriter_has_bigbank,total_aset_cat,equity,leverage_ratio,revenue,turnover_ratio,per,pbv,1d,1w,1m,6m,1y
3,1,175709700000.0,0.2,1,2,1,2,1,2,1,1,170000000000.0,3.052941176470588,198000000000.0,0.28737300435413643,17.744348610727528,5.167932352941176,1,1,1,2,2
3,1,74995500000.0,0.2941,0,2,1,1,1,1,0,1,42100716396.0,1.1519442170729375,89623687082.0,0.9892414637086202,19.76716815414142,6.056904058388603,2,0,0,0,0
3,1,70000000000.0,0.35,0,2,2,1,0,0,0,1,72328719786.0,0.1767252377039052,23399285941.0,0.27492659818208937,100.0,2.7651533248720956,0,1,1,2,0
3,1,145617714151.0,0.1781,0,2,2,1,1,0,1,1,269000000000.0,1.6468401486988848,133000000000.0,0.18679775280898878,100.0,3.039471040892193,0,1,1,2,0
3,1,40625000000.0,0.2,0,2,0,0,1,0,0,1,52968800364.0,1.5109120668398757,37567947019.0,0.28246576706015036,57.38291135024187,3.834804613359773,1,0,1,2,0
3,0,186480000000.0,0.1665,0,2,1,1,1,1,0,1,356966726670.0,0.1709774854910289,74593925150.0,0.17845436638755982,50.121716015975785,3.1375473295453404,2,1,1,2,2
3,2,20250000000.0,0.2,0,2,0,0,0,0,0,0,17412471901.0,0.254281080146106,3738111018.0,0.1711578787495487,100.0,5.81479761033729,1,1,0,0,2
3,1,53518125000.0,0.2,1,2,1,1,0,0,1,1,95635000000.0,0.4743556229413918,55230000000.0,0.39170212765957446,100.0,2.798040727767031,2,0,0,2,2
3,2,24000000000.0,0.2,0,2,0,0,1,0,0,0,46434217761.0,0.04283065495442449,1920384057.0,0.03965848949845425,-398.2061714576488,2.5843010991947355,2,1,1,0,0
1,0,366960000000.0,0.1529,1,2,2,2,2,2,0,2,30810000000000.0,0.08081791626095423,1300000000000.0,0.03903903903903904,-29.899090569328518,0.07789678675754626,0,1,1,0,0
3,4,115346687274.0,0.3031,0,2,2,2,1,0,0,1,52823348843.0,0.532760729230618,32454034913.0,0.40083755414332833,74.18729706935609,7.204324381838775,0,1,1,0,0
3,1,1000083829614.7249,0.1068,1,2,2,1,2,2,1,2,4730000000000.0,2.044397463002114,1030000000000.0,0.07152777777777777,50.891743487152176,1.979721099711628,0,1,1,2,2
